Risk,AUC_q0.25,AUC_q0.50,AUC_q0.75,TDCI_q0.25,TDCI_q0.50,TDCI_q0.75,BRIER_q0.25,BRIER_q0.50,BRIER_q0.75
Type 1,0.988 ± 0.012,0.958 ± 0.028,0.942 ± 0.034,0.804 ± 0.019,0.785 ± 0.011,0.773 ± 0.006,0.131 ± 0.023,0.184 ± 0.042,0.242 ± 0.074
Type 2,0.952 ± 0.043,0.966 ± 0.023,0.972 ± 0.017,0.647 ± 0.009,0.635 ± 0.015,0.613 ± 0.016,0.469 ± 0.223,0.514 ± 0.217,0.537 ± 0.217
