Risk,AUC_q0.25,AUC_q0.50,AUC_q0.75,TDCI_q0.25,TDCI_q0.50,TDCI_q0.75,BRIER_q0.25,BRIER_q0.50,BRIER_q0.75
Type 1,0.843 ± 0.021,0.832 ± 0.028,0.811 ± 0.040,0.708 ± 0.022,0.700 ± 0.021,0.691 ± 0.023,0.249 ± 0.295,0.320 ± 0.273,0.353 ± 0.247
Type 2,0.793 ± 0.050,0.779 ± 0.027,0.771 ± 0.028,0.714 ± 0.029,0.713 ± 0.017,0.707 ± 0.014,0.041 ± 0.004,0.079 ± 0.006,0.127 ± 0.010
