Risk,AUC_q0.25,AUC_q0.50,AUC_q0.75,TDCI_q0.25,TDCI_q0.50,TDCI_q0.75,BRIER_q0.25,BRIER_q0.50,BRIER_q0.75
Type 1,0.855 ± 0.065,0.802 ± 0.092,0.798 ± 0.100,0.665 ± 0.036,0.624 ± 0.029,0.617 ± 0.028,0.277 ± 0.268,0.380 ± 0.242,0.393 ± 0.227
Type 2,0.872 ± 0.188,0.838 ± 0.179,0.813 ± 0.175,0.804 ± 0.110,0.713 ± 0.097,0.680 ± 0.087,0.287 ± 0.266,0.308 ± 0.188,0.308 ± 0.129
