Risk,AUC_q0.25,AUC_q0.50,AUC_q0.75,TDCI_q0.25,TDCI_q0.50,TDCI_q0.75,BRIER_q0.25,BRIER_q0.50,BRIER_q0.75
Type 1,0.762 ± 0.133,0.751 ± 0.126,0.735 ± 0.118,0.664 ± 0.086,0.657 ± 0.081,0.658 ± 0.081,0.235 ± 0.350,0.262 ± 0.308,0.276 ± 0.269
Type 2,0.782 ± 0.055,0.767 ± 0.038,0.764 ± 0.038,0.711 ± 0.036,0.707 ± 0.025,0.704 ± 0.020,0.038 ± 0.003,0.074 ± 0.004,0.113 ± 0.007
